Período Exibido GE,Data Dica,nom_tipousinasite,geracao,Normalização Média,Normalização Máximo
5,2025-01-09 12:00:00,Solar,29,2.839160839160839,0.8787878787878788
5,2025-01-09 13:00:00,Solar,27,2.6433566433566433,0.8181818181818182
5,2025-01-09 14:00:00,Solar,23,2.251748251748252,0.696969696969697
5,2025-01-09 15:00:00,Solar,18,1.7622377622377623,0.5454545454545454
5,2025-01-09 16:00:00,Solar,12,1.174825174825175,0.36363636363636365
5,2025-01-09 17:00:00,Solar,5,0.48951048951048953,0.15151515151515152
5,2025-01-09 18:00:00,Solar,1,0.0979020979020979,0.030303030303030304
5,2025-01-09 19:00:00,Solar,0,0,0
5,2025-01-09 20:00:00,Solar,0,0,0
5,2025-01-09 21:00:00,Solar,0,0,0
5,2025-01-09 22:00:00,Solar,0,0,0
5,2025-01-09 23:00:00,Solar,0,0,0
5,2025-01-10 00:00:00,Solar,0,0,0
5,2025-01-10 01:00:00,Solar,0,0,0
5,2025-01-10 02:00:00,Solar,0,0,0
5,2025-01-10 03:00:00,Solar,0,0,0
5,2025-01-10 04:00:00,Solar,0,0,0
5,2025-01-10 05:00:00,Solar,0,0,0
5,2025-01-10 06:00:00,Solar,5,0.48951048951048953,0.15151515151515152
5,2025-01-10 07:00:00,Solar,12,1.174825174825175,0.36363636363636365
5,2025-01-10 08:00:00,Solar,19,1.8601398601398602,0.5757575757575758
5,2025-01-10 09:00:00,Solar,25,2.447552447552448,0.7575757575757576
5,2025-01-10 10:00:00,Solar,30,2.937062937062937,0.9090909090909091
5,2025-01-10 11:00:00,Solar,32,3.132867132867133,0.9696969696969697
5,2025-01-10 12:00:00,Solar,31,3.034965034965035,0.9393939393939394
5,2025-01-10 13:00:00,Solar,29,2.839160839160839,0.8787878787878788
5,2025-01-10 14:00:00,Solar,25,2.447552447552448,0.7575757575757576
5,2025-01-10 15:00:00,Solar,19,1.8601398601398602,0.5757575757575758
5,2025-01-10 16:00:00,Solar,13,1.272727272727273,0.3939393939393939
5,2025-01-10 17:00:00,Solar,7,0.6853146853146853,0.21212121212121213
5,2025-01-10 18:00:00,Solar,1,0.0979020979020979,0.030303030303030304
5,2025-01-10 19:00:00,Solar,0,0,0
5,2025-01-10 20:00:00,Solar,0,0,0
5,2025-01-10 21:00:00,Solar,0,0,0
5,2025-01-10 22:00:00,Solar,0,0,0
5,2025-01-10 23:00:00,Solar,0,0,0
5,2025-01-11 00:00:00,Solar,0,0,0
5,2025-01-11 01:00:00,Solar,0,0,0
5,2025-01-11 02:00:00,Solar,0,0,0
5,2025-01-11 03:00:00,Solar,0,0,0
5,2025-01-11 04:00:00,Solar,0,0,0
5,2025-01-11 05:00:00,Solar,1,0.0979020979020979,0.030303030303030304
5,2025-01-11 06:00:00,Solar,5,0.48951048951048953,0.15151515151515152
5,2025-01-11 07:00:00,Solar,13,1.272727272727273,0.3939393939393939
5,2025-01-11 08:00:00,Solar,19,1.8601398601398602,0.5757575757575758
5,2025-01-11 09:00:00,Solar,26,2.545454545454546,0.7878787878787878
5,2025-01-11 10:00:00,Solar,30,2.937062937062937,0.9090909090909091
5,2025-01-11 11:00:00,Solar,32,3.132867132867133,0.9696969696969697
5,2025-01-11 12:00:00,Solar,32,3.132867132867133,0.9696969696969697
5,2025-01-11 13:00:00,Solar,29,2.839160839160839,0.8787878787878788
5,2025-01-11 14:00:00,Solar,26,2.545454545454546,0.7878787878787878
5,2025-01-11 15:00:00,Solar,21,2.0559440559440563,0.6363636363636364
5,2025-01-11 16:00:00,Solar,14,1.3706293706293706,0.42424242424242425
5,2025-01-11 17:00:00,Solar,7,0.6853146853146853,0.21212121212121213
5,2025-01-11 18:00:00,Solar,1,0.0979020979020979,0.030303030303030304
5,2025-01-11 19:00:00,Solar,0,0,0
5,2025-01-11 20:00:00,Solar,0,0,0
5,2025-01-11 21:00:00,Solar,0,0,0
5,2025-01-11 22:00:00,Solar,0,0,0
5,2025-01-11 23:00:00,Solar,0,0,0
5,2025-01-12 00:00:00,Solar,0,0,0
5,2025-01-12 01:00:00,Solar,0,0,0
5,2025-01-12 02:00:00,Solar,0,0,0
5,2025-01-12 03:00:00,Solar,0,0,0
5,2025-01-12 04:00:00,Solar,0,0,0
5,2025-01-12 05:00:00,Solar,0,0,0
5,2025-01-12 06:00:00,Solar,4,0.3916083916083916,0.12121212121212122
5,2025-01-12 07:00:00,Solar,11,1.076923076923077,0.3333333333333333
5,2025-01-12 08:00:00,Solar,19,1.8601398601398602,0.5757575757575758
5,2025-01-12 09:00:00,Solar,22,2.153846153846154,0.6666666666666666
5,2025-01-12 10:00:00,Solar,25,2.447552447552448,0.7575757575757576
5,2025-01-12 11:00:00,Solar,27,2.6433566433566433,0.8181818181818182
5,2025-01-12 12:00:00,Solar,27,2.6433566433566433,0.8181818181818182
5,2025-01-12 13:00:00,Solar,26,2.545454545454546,0.7878787878787878
5,2025-01-12 14:00:00,Solar,22,2.153846153846154,0.6666666666666666
5,2025-01-12 15:00:00,Solar,18,1.7622377622377623,0.5454545454545454
5,2025-01-12 16:00:00,Solar,12,1.174825174825175,0.36363636363636365
5,2025-01-12 17:00:00,Solar,6,0.5874125874125875,0.18181818181818182
5,2025-01-12 18:00:00,Solar,1,0.0979020979020979,0.030303030303030304
5,2025-01-12 19:00:00,Solar,0,0,0
5,2025-01-12 20:00:00,Solar,0,0,0
5,2025-01-12 21:00:00,Solar,0,0,0
5,2025-01-12 22:00:00,Solar,0,0,0
5,2025-01-12 23:00:00,Solar,0,0,0
